soft_skill_id,student_id,communication,teamwork,presentation,leadership,critical_thinking,interpersonal_skills
2040,1,60,76,91,87,83,84
2488,2,51,96,67,97,84,59
2440,3,100,91,95,67,88,94
2155,4,89,72,52,85,91,81
2108,5,53,85,75,58,95,81
2466,6,68,86,52,70,87,98
2078,7,86,94,79,100,70,86
2136,8,54,65,54,85,99,93
2301,9,83,60,71,69,76,67
2474,10,94,69,96,58,61,72
2309,11,74,85,57,74,63,79
2272,12,58,51,84,53,66,83
2151,13,80,85,63,64,96,73
2278,14,91,60,63,68,56,99
2125,15,88,79,91,61,53,100
2420,16,77,76,90,89,70,85
2478,17,76,88,86,67,64,54
2114,18,52,71,97,68,68,72
2366,19,85,63,87,57,83,56
2339,20,60,64,66,99,51,61
2428,21,81,81,77,70,80,57
2035,22,86,56,50,52,88,66
2067,23,63,56,65,62,87,87
2237,24,85,73,75,68,84,96
2190,25,81,83,59,54,88,90
2127,26,99,54,86,54,76,61
2447,27,76,70,62,89,77,77
2055,28,60,91,81,97,52,82
2001,29,80,98,78,61,84,95
2029,30,71,96,62,73,50,88
2178,31,68,63,88,52,64,93
2291,32,64,65,53,95,66,54
2038,33,68,88,55,92,84,52
2206,34,95,59,95,64,59,69
2421,35,81,63,99,58,56,100
2187,36,94,79,93,55,84,51
2460,37,90,55,89,68,86,88
2211,38,88,55,74,84,80,53
2408,39,89,70,51,97,71,56
2064,40,88,65,90,61,63,64
2251,41,94,72,60,70,94,62
2318,42,76,57,95,81,54,68
2045,43,89,57,85,76,90,56
2267,44,95,57,74,98,67,83
2047,45,52,76,60,70,56,98
2079,46,63,79,52,55,78,63
2475,47,85,83,60,66,74,57
2356,48,88,69,79,86,71,98
2201,49,68,64,66,62,93,51
2354,50,66,80,75,78,94,54
2415,51,77,78,79,90,88,65
2390,52,82,50,88,76,93,61
2494,53,74,72,83,80,77,74
2043,54,70,76,62,76,81,73
2041,55,67,98,81,67,82,80
2031,56,70,83,52,52,51,99
2441,57,70,63,58,62,91,53
2234,58,72,69,93,83,50,65
2003,59,67,62,85,78,84,64
2169,60,83,59,65,87,59,54
2261,61,52,97,89,84,72,77
2429,62,64,56,91,74,58,88
2054,63,67,82,97,88,57,83
2227,64,54,96,68,76,97,56
2222,65,59,59,51,99,60,70
